brand,merchant_id,recommendation_grade,score,commission_rate,assigned_theme,brand_role,coverage_status,main_products,content_angles,promo_link,store_link,risk_notes,notes
JAYSUWAN-健素旺,TP0008420,A,50.0,3.0%,daily-food-drink-ritual,主推候選,pending-assignment,素食營養品、保健食品或健康食品,素食營養補充、保健品比較、日常健康管理,https://s.momoshop.com.tw/s/a3NJCgKg,https://www.momoshop.com.tw/TP/TP0008420/main,避免醫療/療效/保健功效承諾,保健食品復購性高，但需謹慎處理宣稱。
囍素堅果,TP0003486,B,73.0,6.0%,daily-food-drink-ritual,配角候選,pending-assignment,海苔堅果脆片、堅果棒、南棗核桃糕、素肉乾、蔬果脆片,辦公室素食零食、追劇零嘴、長輩可吃的堅果點心,https://s.momoshop.com.tw/s/13xEqcPN,https://www.momoshop.com.tw/TP/TP0003486/main,,第二輪已補來源
食材玩家-精選全球美味🌍,TP0003278,B,75.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,全球精選食材、零食、調味與餐桌美味,異國食材清單、家庭料理升級、節慶餐桌選物,https://s.momoshop.com.tw/s/gvc06pk4,https://www.momoshop.com.tw/TP/TP0003278/main,,食品內容要注意保存與產地資訊
清涼酵素 Cingliang  Shiau Su,TP0004512,B,73.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,酵素飲、機能飲、日常飲品補給,酵素飲比較、外食族飲品替換、清爽飲品推薦,https://s.momoshop.com.tw/s/cXwPt6mC,https://www.momoshop.com.tw/TP/TP0004512/main,避免醫療/療效/保健功效承諾,避免醫療功效敘述
大正餐具批發零售,TP0000363,B,73.0,3.0%,outdoor-mobile-living,配角候選,pending-assignment,平底鍋、鑄鐵鍋、咖啡/茶飲器具、刀具、刀叉、玻璃杯壺、不鏽鋼與竹木餐具,自煮族、咖啡/茶飲玩家、餐飲業小採購、露營餐廚族,https://s.momoshop.com.tw/s/aT1BdnAJ,https://www.momoshop.com.tw/TP/TP0000363/main,,https://www.momoshop.com.tw/TP/TP0000363/about ; https://m.momoshop.com.tw/category.momo?cn=&entpCode=TP0000363
鐵本舖台灣鐵鍋,TP0008921,B,71.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,台灣鐵鍋、炒鍋、煎鍋、料理鍋具,自煮族、鍋具愛好者、重視MIT製造者,https://s.momoshop.com.tw/s/lv1Fa9gi,https://www.momoshop.com.tw/TP/TP0008921/main,,momo 商店頁 + 店名線索
在生活中加點甜｜魏姐包心粉圓,TP0004237,B,70.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,包心粉圓、甜品配料、冷凍/常溫甜點,甜品愛好者、家庭聚會、飲料/冰品自製族,https://s.momoshop.com.tw/s/FLLhd2Mt,https://www.momoshop.com.tw/TP/TP0004237/main,,momo 商店頁 + 店名線索
水魔素m+官方店,TP0004250,B,70.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,水魔素、補水/美容保健、機能飲品或保養品推定,女性保養族、上班族、輕養生消費者,https://s.momoshop.com.tw/s/wu0u3KVA,https://www.momoshop.com.tw/TP/TP0004250/main,避免醫療/療效/保健功效承諾,momo 商店頁 + 品牌/店名線索
河洛台灣精品館,TP0006281,B,69.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,花蓮桑椹濃縮原汁、台灣在地美食與土產精品,重視MIT、伴手禮、養生飲品與家庭採買族,https://s.momoshop.com.tw/s/CeaTUEd2,https://www.momoshop.com.tw/TP/TP0006281/main,,https://www.hellomit.com/ ; https://www.momoshop.com.tw/TP/TP0006281/goods
三代養蜂場【南投小農】,TP0007409,B,68.2,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,蜂蜜、蜂產品、農產禮盒,蜂蜜挑選、早餐搭配、小農伴手禮、蜂蜜真偽/保存,https://s.momoshop.com.tw/s/9IfB6T5I,https://www.momoshop.com.tw/TP/TP0007409/main,,第6批；多數分潤約3%，需以轉換意圖與內容差異決定是否投入
強哥批發 口罩 酒精 生活用品 美妝用品 醫療器材 保健食品,TP0005998,B,66.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,口罩、酒精、生活用品、美妝用品、醫療器材與保健食品,家庭防護補貨、長輩照護用品清單、生活消耗品採購,https://s.momoshop.com.tw/s/IIcK5u8T,https://www.momoshop.com.tw/TP/TP0005998/main,避免醫療/療效/保健功效承諾,避免太雜導致內容聚焦不足
富達醫材,TP0007439,B,63.6,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,保健食品、機能食品、護理用品或健康選物,成分比較、族群痛點、日常保健懶人包,https://s.momoshop.com.tw/s/muT80PtA,https://www.momoshop.com.tw/TP/TP0007439/main,避免醫療/療效/保健功效承諾,二輪依店名語意與原始商店資訊判斷；品類=健康食品/保健護理；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
德利豆乾,TP0002208,B,61.6,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,咖啡豆、濾掛咖啡、沖煮器具或飲品選物,咖啡風味比較、濾掛推薦、辦公室補給,https://s.momoshop.com.tw/s/XmxJdbbC,https://www.momoshop.com.tw/TP/TP0002208/main,,二輪依店名語意與原始商店資訊判斷；品類=咖啡/飲品；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
豆韻,TP0009178,B,61.6,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,咖啡豆、濾掛咖啡、沖煮器具或飲品選物,咖啡風味比較、濾掛推薦、辦公室補給,https://s.momoshop.com.tw/s/GCeNJLav,https://www.momoshop.com.tw/TP/TP0009178/main,,二輪依店名語意與原始商店資訊判斷；品類=咖啡/飲品；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
LING CHÁ,TP0008451,B,60.6,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,茶葉、茶包、花草茶或機能飲品,無糖茶飲、花草茶入門、辦公室飲品清單,https://s.momoshop.com.tw/s/um6COh50,https://www.momoshop.com.tw/TP/TP0008451/main,避免醫療/療效/保健功效承諾,二輪依店名語意與原始商店資訊判斷；品類=茶飲/花草飲；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
"love, charlotte 樂芙夏",TP0002361,B,60.6,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,茶葉、茶包、花草茶或機能飲品,無糖茶飲、花草茶入門、辦公室飲品清單,https://s.momoshop.com.tw/s/cF4xxyGJ,https://www.momoshop.com.tw/TP/TP0002361/main,避免醫療/療效/保健功效承諾,二輪依店名語意與原始商店資訊判斷；品類=茶飲/花草飲；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
超激食驗室ChaoJiFoodLab,TP0000525,B,60.6,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,茶葉、茶包、花草茶或機能飲品,無糖茶飲、花草茶入門、辦公室飲品清單,https://s.momoshop.com.tw/s/CagEinFj,https://www.momoshop.com.tw/TP/TP0000525/main,避免醫療/療效/保健功效承諾,二輪依店名語意與原始商店資訊判斷；品類=茶飲/花草飲；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
Kris 克里酥,TP0008550,B,59.6,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,零食、糕餅、即食食品、伴手禮或地方特色食品,開箱試吃、伴手禮推薦、辦公室團購清單,https://s.momoshop.com.tw/s/YB8BkEET,https://www.momoshop.com.tw/TP/TP0008550/main,,二輪依店名語意與原始商店資訊判斷；品類=食品零食/伴手禮；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
廚Fun生活工坊,TP0000217,B,57.6,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,餐具、鍋具、杯壺、陶瓷器皿或料理工具,餐廚升級、料理場景、收納與質感生活,https://s.momoshop.com.tw/s/VaAZAukG,https://www.momoshop.com.tw/TP/TP0000217/main,,二輪依店名語意與原始商店資訊判斷；品類=餐廚用品/器皿；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
港記酥皇,TP0001990,B,57.6,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,零食、糕餅、即食食品、伴手禮或地方特色食品,開箱試吃、伴手禮推薦、辦公室團購清單,https://s.momoshop.com.tw/s/kbNje3EU,https://www.momoshop.com.tw/TP/TP0001990/main,,二輪依店名語意與原始商店資訊判斷；品類=食品零食/伴手禮；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
BBHONEY,TP0000839,B,49.0,3.0%,daily-food-drink-ritual,配角候選,pending-assignment,蜂蜜、蜂產品、甜味調理/養生食品,蜂蜜怎麼選、蜂蜜水/料理應用、伴手禮推薦,https://s.momoshop.com.tw/s/Ch242VBU,https://www.momoshop.com.tw/TP/TP0000839/main,避免醫療/療效/保健功效承諾,蜂蜜類有內容與送禮場景，但需確認實際SKU與價格帶。
BOACUP 波卡,TP0000296,B,48.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,水杯、保溫杯、咖啡杯或杯具配件,通勤杯具、環保杯、咖啡杯比較與送禮推薦,https://s.momoshop.com.tw/s/GDJKwZwI,https://www.momoshop.com.tw/TP/TP0000296/main,,杯具商品容易做比較與場景內容，但需確認品牌差異。
KoreaTop 韓物通,TP0008924,B,48.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,韓國食品、美妝、生活雜貨或服飾,韓國空運好物、韓國零食/美妝清單、追劇零食,https://s.momoshop.com.tw/s/gOGiUf0K,https://www.momoshop.com.tw/TP/TP0008924/main,,韓國選物具話題性，但需聚焦品類。
生活創意家 Life Creative KINYO 家電,TP0005764,A,81.0,3.0%,creator-work-gear,主推候選,pending-assignment,KINYO 小家電、生活電器、廚房家電、個人照護電器,小家電CP值清單、租屋族必備家電、辦公室生活電器,https://s.momoshop.com.tw/s/ZpHylFwi,https://www.momoshop.com.tw/TP/TP0005764/main,,補查熱門型號與促銷價格
Airmate艾美特,TP0006567,A,77.0,3.0%,creator-work-gear,主推候選,pending-assignment,電風扇、循環扇、暖器、空氣調節與小家電,家庭、小資租屋族、辦公室、季節家電需求者,https://s.momoshop.com.tw/s/tPIXt2SN,https://www.momoshop.com.tw/TP/TP0006567/main,,momo 商店頁 + Airmate 品牌線索
心科技･生活家電館,TP0005935,B,72.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,生活家電、廚房小家電、清潔電器、日用電器,租屋族小家電、廚房效率工具、清潔家電比較,https://s.momoshop.com.tw/s/cxsF8Zc3,https://www.momoshop.com.tw/TP/TP0005935/main,,避免過度泛化
手些小子3C 專營Apple蘋果周邊配件,TP0000669,B,71.0,3.0%,creator-work-gear,配角候選,pending-assignment,Apple手機殼、保護貼、充電線、MagSafe與蘋果周邊,iPhone配件清單、MagSafe配件推薦、保護貼/手機殼比較,https://s.momoshop.com.tw/s/BZ5nqdds,https://www.momoshop.com.tw/TP/TP0000669/main,,需確認是否有差異化設計或高評價商品
TG3C 手機配件旗艦館,TP0009160,B,70.0,3.0%,creator-work-gear,配角候選,pending-assignment,手機殼、保護貼、充電線、車用與日常3C配件,手機配件清單、車用手機架、充電線怎麼選,https://s.momoshop.com.tw/s/g4etBL11,https://www.momoshop.com.tw/TP/TP0009160/main,,競爭高
TOUCH-KR 韓國手機配件/生活雜貨代購,TP0003608,B,70.0,3.0%,creator-work-gear,配角候選,pending-assignment,韓國手機配件、生活雜貨、美感小物代購,韓系手機殼、質感桌面小物、生活雜貨開箱,https://s.momoshop.com.tw/s/7lJg1j20,https://www.momoshop.com.tw/TP/TP0003608/main,,需確認供貨穩定與熱門款
靚點燈飾 LED吸頂燈專賣店,TP0008153,B,70.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,LED吸頂燈、燈具、居家照明、空間照明配件,小宅照明改造、吸頂燈選購、租屋/新家照明清單,https://s.momoshop.com.tw/s/PpgBFuRx,https://www.momoshop.com.tw/TP/TP0008153/main,,第6批；多數分潤約3%，需以轉換意圖與內容差異決定是否投入
LANS藍星3C配件專賣店,TP0005421,B,68.0,3.0%,mobile-wardrobe-accessories,配角候選,pending-assignment,手機殼、螢幕保護貼、充電線、行動電源與週邊配件,iPhone/Android配件清單、保護貼怎麼選、通勤充電組合,https://s.momoshop.com.tw/s/XdquU34a,https://www.momoshop.com.tw/TP/TP0005421/main,,避免只做泛手機殼內容，應聚焦型號與情境
KINYO 官方旗艦店,TP0005409,B,67.0,9.0%,creator-work-gear,配角候選,pending-assignment,KINYO 家電、生活小家電、電腦/手機周邊類產品,桌面小家電、辦公室3C、租屋小家電選購,https://s.momoshop.com.tw/s/HOl8BAYI,https://www.momoshop.com.tw/TP/TP0005409/main,,第二輪已補來源
philo飛樂 / arlink 生活美學,TP0007559,B,67.0,4.0%,outdoor-mobile-living,配角候選,pending-assignment,Arlink氣炸鍋/電火鍋、Philo救車行動電源、行李箱等,氣炸鍋比較、救車行動電源、行李箱選購,https://s.momoshop.com.tw/s/WlglCh1p,https://www.momoshop.com.tw/TP/TP0007559/main,,第二輪已補來源
XINGMU 興沐 燈飾旗艦店,TP0004819,B,66.0,3.5%,home-ritual-lifestyle,配角候選,pending-assignment,吊扇燈、吸頂燈、風扇燈、廚房家電部分商品,風扇燈選購、臥室吸頂燈、小宅照明、租屋燈具升級,https://s.momoshop.com.tw/s/7mam5Wo4,https://www.momoshop.com.tw/TP/TP0004819/main,,第二輪已補來源
💖趁財財燈飾💖,TP0009671,B,66.0,3.0%,home-ritual-lifestyle,配角候選,pending-assignment,吸頂燈、吊燈、壁燈、居家照明,新居裝修、租屋改造、居家美學族,https://s.momoshop.com.tw/s/AV3xvAYB,https://www.momoshop.com.tw/TP/TP0009671/main,,momo 商店頁 + 店名線索
潛伏者行車記錄器系列.批發.零售,TP0001376,B,63.0,4.0%,outdoor-mobile-living,配角候選,pending-assignment,後視鏡式行車記錄器、雙鏡頭、GPS測速、CarPlay流媒體電子後視鏡,行車記錄器選購、後視鏡式雙鏡頭、車用電子比較,https://s.momoshop.com.tw/s/XZE0axlH,https://www.momoshop.com.tw/TP/TP0001376/main,,第二輪已補來源
muni 3C手機平板週邊配件專賣店,TP0007239,B,61.4,2.0%,creator-work-gear,配角候選,pending-assignment,手機配件、充電線材、音訊設備、電腦周邊,規格比較、情境導購、平價替代方案,https://s.momoshop.com.tw/s/Fl1ZEZCT,https://www.momoshop.com.tw/TP/TP0007239/main,,二輪依店名語意與原始商店資訊判斷；品類=3C數位/通訊配件；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
AiHome｜專業智慧充電生活,TP0009130,B,56.4,2.0%,creator-work-gear,配角候選,pending-assignment,手機配件、充電線材、音訊設備、電腦周邊,規格比較、情境導購、平價替代方案,https://s.momoshop.com.tw/s/QZfqv2RB,https://www.momoshop.com.tw/TP/TP0009130/main,,二輪依店名語意與原始商店資訊判斷；品類=3C數位/通訊配件；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
湯米3C-手機配件,TP0006731,B,56.4,2.0%,creator-work-gear,配角候選,pending-assignment,手機配件、充電線材、音訊設備、電腦周邊,規格比較、情境導購、平價替代方案,https://s.momoshop.com.tw/s/DGTgwfd6,https://www.momoshop.com.tw/TP/TP0006731/main,,二輪依店名語意與原始商店資訊判斷；品類=3C數位/通訊配件；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
Ches3c 生活智能館,TP0008881,B,56.4,2.0%,creator-work-gear,配角候選,pending-assignment,手機配件、充電線材、音訊設備、電腦周邊,規格比較、情境導購、平價替代方案,https://s.momoshop.com.tw/s/Eukw5zpf,https://www.momoshop.com.tw/TP/TP0008881/main,,二輪依店名語意與原始商店資訊判斷；品類=3C數位/通訊配件；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
PALLARIFY鈀鎰科技有限公司,TP0008198,B,55.6,3.0%,creator-work-gear,配角候選,pending-assignment,手機配件、充電線材、音訊設備、電腦周邊,規格比較、情境導購、平價替代方案,https://s.momoshop.com.tw/s/iHAIUcpv,https://www.momoshop.com.tw/TP/TP0008198/main,,二輪依店名語意與原始商店資訊判斷；品類=3C數位/通訊配件；內容可做性與分潤率綜合評分。需以實際熱銷SKU校正。
