day,brand,merchant_id,grade,score,theme,site_category,article_angle,main_products,brand_role,promo_link,store_link,tracking_status
11,愛貓聯盟,TP0000547,A,82.0,daily-food-drink-ritual,lifestyle-culture,新手養貓清單、貓砂比較,貓食品、貓砂、貓玩具、貓咪生活用品,主推候選,https://s.momoshop.com.tw/s/RHlpB4X8,https://www.momoshop.com.tw/TP/TP0000547/main,skipped
12,TWyzy新世代(充氣)沐浴床包,TP0008844,A,88.0,mobile-wardrobe-accessories,casual-chic,臥床長輩沐浴照護、居家長照設備,充氣式浴缸/浴槽、沐浴床包、智能移轉位磅秤床等長照/安養場域用品,主推候選,https://s.momoshop.com.tw/s/2EwkaNe8,https://www.momoshop.com.tw/TP/TP0008844/main,skipped
13,輝葉良品 官方旗艦店,TP0008485,A,83.0,wellness-recovery-support,wellness-movement,按摩椅怎麼選、送父母日常照護禮,按摩椅、按摩槍、健身器材、體脂計、居家健康用品,主推候選,https://s.momoshop.com.tw/s/f1zXSS5P,https://www.momoshop.com.tw/TP/TP0008485/main,skipped
14,REAICE｜外接式螢幕、充電線材、3C周邊,TP0005967,A,78.0,creator-work-gear,ai-innovation,外接螢幕怎麼選、筆電雙螢幕工作流,外接式螢幕、充電線材、轉接頭、筆電/手機周邊,主推候選,https://s.momoshop.com.tw/s/NbN84MXv,https://www.momoshop.com.tw/TP/TP0005967/main,skipped
15,HeroMama官方直營,TP0009203,A,79.0,pet-lifestyle-future,lifestyle-culture,貓狗飼主、新手毛爸媽,犬貓乾糧、凍乾晶球飼料、肉含量訴求寵糧,主推候選,https://s.momoshop.com.tw/s/HPO6XLAm,https://www.momoshop.com.tw/TP/TP0009203/main,skipped
16,888便利購 兒童玩具專賣店,TP0002179,A,82.0,family-parenting-future,lifestyle-culture,商品清單、尺寸動線,100關益智迷宮球（大顆、299關益智迷宮球（大顆、6入仿真昆蟲拼裝選物（大隻）、大耳狗造型可愛風箏（全配、大號砂畫／沙畫（圖案多樣、大蝴蝶造型彩色風箏（13、幼兒學齡前大塊拼圖（48、超級無敵大彩虹彈簧圈（1,推薦店家,https://s.momoshop.com.tw/s/kwiLOwSy,https://www.momoshop.com.tw/TP/TP0002179/main,skipped
17,耳根清靜 - 耳塞/優質睡眠專賣店,TP0003593,A,83.0,outdoor-mobile-living,outdoor-escapes,睡眠耳塞推薦、打呼降噪,MOLDEX 美國超靜音耳塞、小綠耳塞、繽紛糖耳塞、迷你綠耳塞、隔音睡眠用品,主推候選,https://s.momoshop.com.tw/s/zymRpNpU,https://www.momoshop.com.tw/TP/TP0003593/main,skipped
18,愛貓聯萌,TP0000351,A,82.0,home-ritual-lifestyle,lifestyle-culture,貓奴必備清單、貓咪居家用品,貓咪食品、貓砂、貓玩具、貓咪日常用品,主推候選,https://s.momoshop.com.tw/s/RUGRNKlN,https://www.momoshop.com.tw/TP/TP0000351/main,skipped
19,LEOBUNA 里昂布納精品咖啡,TP0006698,A,80.0,daily-food-drink-ritual,lifestyle-culture,精品咖啡入門、濾掛咖啡禮盒,衣索比亞精品咖啡豆、濾掛咖啡、手沖禮盒,主推候選,https://s.momoshop.com.tw/s/O65x7oTq,https://www.momoshop.com.tw/TP/TP0006698/main,skipped
20,Haida 台灣總代理,TP0009335,A,86.0,mobile-wardrobe-accessories,casual-chic,CPL偏光鏡怎麼選、黑柔濾鏡人像測試,Haida NanoPro CPL 偏光鏡、黑柔濾鏡、濾鏡包、攝影濾鏡配件,主推候選,https://s.momoshop.com.tw/s/FYL1kuHK,https://www.momoshop.com.tw/TP/TP0009335/main,skipped
21,一然健康,TP0005698,A,80.8,wellness-recovery-support,wellness-movement,使用情境、長輩照護,健康照護、輔具、按摩/睡眠/身體支撐用品,主推候選,https://s.momoshop.com.tw/s/3gYTg55i,https://www.momoshop.com.tw/TP/TP0005698/main,skipped
22,【 凱銓科技 】電競/水冷電腦 專業設計,TP0006865,A,78.0,creator-work-gear,ai-innovation,水冷電腦是否值得、電競主機配置指南,電競主機、水冷電腦、客製化電腦、硬體升級方案,主推候選,https://s.momoshop.com.tw/s/gWYWVw5Q,https://www.momoshop.com.tw/TP/TP0006865/main,published
23,GenePet.tw,TP0008082,A,54.0,pet-lifestyle-future,lifestyle-culture,寵物健康管理、品種/體質照護,寵物健康、檢測、保健或用品,主推候選,https://s.momoshop.com.tw/s/jo08nrnp,https://www.momoshop.com.tw/TP/TP0008082/main,published
24,UV100專業機能防曬服飾,TP0000116,A,82.0,outdoor-mobile-living,outdoor-escapes,防曬外套怎麼選、機車通勤防曬,UPF防曬外套、防曬帽、涼感防曬與戶外通勤服飾,主推候選,https://s.momoshop.com.tw/s/Z6Bb0QP3,https://www.momoshop.com.tw/TP/TP0000116/main,published
25,THANN官方直營,TP0002458,A,80.0,home-ritual-lifestyle,lifestyle-culture,質感生活族、送禮族,香氛、精油、身體保養、居家香氛與禮盒,主推候選,https://s.momoshop.com.tw/s/ZzrRLijd,https://www.momoshop.com.tw/TP/TP0002458/main,planned
26,Tails Life 毛孩食舖,TP0002193,A,80.0,daily-food-drink-ritual,lifestyle-culture,毛孩零食怎麼選、貓狗日常補給,貓狗食品、零食、保健與日常用品,主推候選,https://s.momoshop.com.tw/s/pZcJQohH,https://www.momoshop.com.tw/TP/TP0002193/main,planned
27,Xinto Coffee 世界雙金咖啡烘豆廠 鑫圖咖啡,TP0006151,A,83.0,mobile-wardrobe-accessories,casual-chic,咖啡豆怎麼選、濾掛咖啡推薦,咖啡豆、濾掛咖啡、掛耳包、咖啡禮盒,主推候選,https://s.momoshop.com.tw/s/e5Xbw4aC,https://www.momoshop.com.tw/TP/TP0006151/main,planned
28,BELEX - 專業醫療護具品牌,TP0003385,A,79.0,wellness-recovery-support,wellness-movement,護腰怎麼選、媽媽手護具,護腰、護膝、護踝、拇指支撐、復健與運動防護用品,主推候選,https://s.momoshop.com.tw/s/ARNPduxj,https://www.momoshop.com.tw/TP/TP0003385/main,planned
29,華克電腦-高效筆電專賣平台、專業服務與精選方案,TP0002753,A,77.0,creator-work-gear,ai-innovation,學生筆電、商務筆電,筆電、商務電腦、升級配件、專業服務方案,主推候選,https://s.momoshop.com.tw/s/7CYQWKtd,https://www.momoshop.com.tw/TP/TP0002753/main,planned
30,Litume 意都美 露營 登山 戶外 旅遊用品,TP0007424,A,82.0,outdoor-mobile-living,outdoor-escapes,新手登山穿搭、雨衣褲比較,戶外服飾、排汗衣、羽絨/保暖、防水雨衣褲、睡袋與旅遊用品,主推候選,https://s.momoshop.com.tw/s/osiHlmau,https://www.momoshop.com.tw/TP/TP0007424/main,planned
31,真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品,TP0000922,A,79.0,home-ritual-lifestyle,lifestyle-culture,平板拖把怎麼選、掃除工具清單,平板拖把、掃把、掃除用品、居家清潔工具,主推候選,https://s.momoshop.com.tw/s/NaHe80dq,https://www.momoshop.com.tw/TP/TP0000922/main,planned
32,暮朝食粹Muzhao | 創新食尚的伴手禮｜醬油 米餅 茶,TP0003333,A,79.0,daily-food-drink-ritual,lifestyle-culture,台灣伴手禮推薦、年節禮盒,醬油、米餅、茶品、創新食品伴手禮,主推候選,https://s.momoshop.com.tw/s/2f9JvlfV,https://www.momoshop.com.tw/TP/TP0003333/main,planned
33,歐力咖啡 Olly Coffee｜實體店面同步販售,TP0000706,A,80.0,mobile-wardrobe-accessories,casual-chic,新手咖啡豆選購、濾掛咖啡比較,咖啡豆、濾掛咖啡、掛耳包、咖啡飲品或禮盒,主推候選,https://s.momoshop.com.tw/s/bFEJWfRq,https://www.momoshop.com.tw/TP/TP0000706/main,planned
34,BETENSH 床墊 | 官方旗艦店,TP0001941,A,78.0,wellness-recovery-support,wellness-movement,床墊怎麼選、租屋床墊升級,床墊、睡眠用品、寢具配件,主推候選,https://s.momoshop.com.tw/s/Vo7R2DY6,https://www.momoshop.com.tw/TP/TP0001941/main,planned
35,Airmate艾美特,TP0006567,A,77.0,creator-work-gear,ai-innovation,家庭、小資租屋族,電風扇、循環扇、暖器、空氣調節與小家電,主推候選,https://s.momoshop.com.tw/s/tPIXt2SN,https://www.momoshop.com.tw/TP/TP0006567/main,planned
36,Snow Peak Taiwan 官方旗艦館,TP0007737,A,82.0,outdoor-mobile-living,outdoor-escapes,露營收藏族群、戶外生活族,高端露營裝備、帳篷、桌椅、爐具、餐具與戶外生活用品,主推候選,https://s.momoshop.com.tw/s/iLAlQeGq,https://www.momoshop.com.tw/TP/TP0007737/main,planned
37,有喵病,TP0007761,A,80.0,home-ritual-lifestyle,lifestyle-culture,新手養貓清單、貓玩具實測,貓咪食品、玩具、清潔照護、貓奴生活用品,主推候選,https://s.momoshop.com.tw/s/O5Hol79Q,https://www.momoshop.com.tw/TP/TP0007761/main,planned
38,PV女性微甜草本飲｜Pistina Vioya,TP0009026,A,78.0,daily-food-drink-ritual,lifestyle-culture,女性辦公室飲品、低負擔微甜氣泡,水梨玫瑰氣泡飲、蜂蜜/洛神/銀耳/紅棗/丹參等草本微甜飲,主推候選,https://s.momoshop.com.tw/s/iujoS6F4,https://www.momoshop.com.tw/TP/TP0009026/main,planned
39,Teavoya - 嘉柏茶業,TP0005142,A,75.0,mobile-wardrobe-accessories,casual-chic,茶禮盒推薦、冷泡茶怎麼選,茶葉、茶包、冷泡茶、茶禮盒,主推候選,https://s.momoshop.com.tw/s/fQyUCDn2,https://www.momoshop.com.tw/TP/TP0005142/main,planned
40,Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝,TP0006750,A,78.0,wellness-recovery-support,wellness-movement,護膝護腰比較、久站族支撐,護膝、護腰、護踝、運動支撐用品,主推候選,https://s.momoshop.com.tw/s/BtMjBpkA,https://www.momoshop.com.tw/TP/TP0006750/main,planned
41,曜暘音響,TP0007934,A,76.0,creator-work-gear,ai-innovation,桌面音響推薦、客廳喇叭怎麼選,喇叭、擴大機、耳機、家庭影音設備,主推候選,https://s.momoshop.com.tw/s/nlK1JGh6,https://www.momoshop.com.tw/TP/TP0007934/main,planned
42,LFM機車精品網路旗艦店,TP0005110,A,79.0,outdoor-mobile-living,outdoor-escapes,機車通勤配件、騎士安全用品,機車精品、騎士配件、車用改裝與安全用品,主推候選,https://s.momoshop.com.tw/s/hohb6teF,https://www.momoshop.com.tw/TP/TP0005110/main,planned
43,唯詩生醫｜醫美診所指定品牌、保養品， 符合FDA國際規範,TP0002583,A,79.0,home-ritual-lifestyle,lifestyle-culture,保養修護、敏感肌保養,保養品、醫美診所指定保養、肌膚修護相關產品,主推候選,https://s.momoshop.com.tw/s/ZtqN2FYu,https://www.momoshop.com.tw/TP/TP0002583/main,planned
44,KKM 健康飲食 專賣-植物奶|果汁|穀物果乾,TP0000776,A,77.0,daily-food-drink-ritual,lifestyle-culture,植物奶怎麼選、早餐健康補給,植物奶、果汁、穀物、果乾、健康飲食選品,主推候選,https://s.momoshop.com.tw/s/bw69kfhb,https://www.momoshop.com.tw/TP/TP0000776/main,planned
45,小嚼士冷凍食品 | 極品生鮮食材,TP0002665,A,75.0,mobile-wardrobe-accessories,casual-chic,懶人晚餐、冷凍庫補貨,冷凍食品、生鮮食材、料理包或家庭餐桌食材,主推候選,https://s.momoshop.com.tw/s/HBcbp9F5,https://www.momoshop.com.tw/TP/TP0002665/main,planned
46,EVERPOLL 愛科濾淨實業股份有限公司 官方直營,TP0004949,A,78.0,wellness-recovery-support,wellness-movement,重視飲水品質家庭、餐飲店家,商用淨水系統、廚下淨水器、全屋淨水、10吋通規濾芯與耗材,主推候選,https://s.momoshop.com.tw/s/HRLuciO6,https://www.momoshop.com.tw/TP/TP0004949/main,planned
47,GoRig行動攝錄影專賣,TP0002918,A,60.0,creator-work-gear,ai-innovation,手機拍攝裝備清單、Vlog支架,手機/相機支架、攝錄影配件、行動拍攝設備,主推候選,https://s.momoshop.com.tw/s/3dzd3eM8,https://www.momoshop.com.tw/TP/TP0002918/main,planned
48,呷什麵 SHIA SHEN MIAN 官方直營商城,TP0001794,A,79.0,outdoor-mobile-living,outdoor-escapes,拌麵口味比較、宵夜/露營料理,拌麵、乾拌麵、麵食料理包與家庭食品,主推候選,https://s.momoshop.com.tw/s/mlf6SOpU,https://www.momoshop.com.tw/TP/TP0001794/main,planned
49,蒔柒・療癒生活選品｜秘魯聖木香氛・居家淨化,TP0005162,A,78.0,home-ritual-lifestyle,lifestyle-culture,聖木怎麼用、居家儀式感,秘魯聖木、香氛、居家淨化與療癒生活選品,主推候選,https://s.momoshop.com.tw/s/yVfDXA0J,https://www.momoshop.com.tw/TP/TP0005162/main,planned
50,本草養生From Nature,TP0002822,A,76.0,daily-food-drink-ritual,lifestyle-culture,養生飲怎麼選、上班族日常補給,草本養生食品、沖泡飲、日常日常補給食品,主推候選,https://s.momoshop.com.tw/s/c5vCEHr4,https://www.momoshop.com.tw/TP/TP0002822/main,planned
51,Juan瑜珈,TP0009115,A,56.0,mobile-wardrobe-accessories,casual-chic,瑜珈墊怎麼選、新手瑜珈用品,瑜珈墊、瑜珈服、輔具、運動配件,主推候選,https://s.momoshop.com.tw/s/pWKboyhs,https://www.momoshop.com.tw/TP/TP0009115/main,planned
52,Apode 歐美專業髮品,TP0005448,A,75.0,wellness-recovery-support,wellness-movement,染燙受損髮、頭皮保養,歐美專業髮品、頭皮SPA、染燙修護、Manta/Pulse髮肌按摩梳,主推候選,https://s.momoshop.com.tw/s/vRmO2Mp9,https://www.momoshop.com.tw/TP/TP0005448/main,planned
53,LamiFans,TP0006348,A,87.0,creator-work-gear,ai-innovation,商品清單、尺寸動線,S4耳掛式耳罩 藍牙5.,推薦店家,https://s.momoshop.com.tw/s/6VaimQ3z,https://www.momoshop.com.tw/TP/TP0006348/main,planned
54,SANSUI山水 官方旗艦店,TP0005820,A,79.0,outdoor-mobile-living,outdoor-escapes,織物清潔機、廚房小家電,美髮美容家電、生活家電、廚房家電、影音設備、露營設備,主推候選,https://s.momoshop.com.tw/s/Q9CErvYD,https://www.momoshop.com.tw/TP/TP0005820/main,planned
55,女王美學美甲材料旗艦店 - DIY美甲新手友善店 免費教學,TP0005240,A,78.0,home-ritual-lifestyle,lifestyle-culture,DIY美甲新手、美甲師,DIY美甲材料、凝膠、甲片、工具、教學型美甲用品,主推候選,https://s.momoshop.com.tw/s/Y94s3kfK,https://www.momoshop.com.tw/TP/TP0005240/main,planned
56,廚藝日本鍋具館,TP0001754,A,76.0,daily-food-drink-ritual,lifestyle-culture,日本鍋具怎麼選、不沾鍋/湯鍋比較,日本鍋具、炒鍋、湯鍋、廚房烹飪用品,主推候選,https://s.momoshop.com.tw/s/8zFXfd8k,https://www.momoshop.com.tw/TP/TP0001754/main,planned
57,S′AIME東京企劃,TP0007070,A,84.0,mobile-wardrobe-accessories,casual-chic,商品清單、尺寸動線,SAIME 東京企劃 I、SAIME 東京企劃 Z,推薦店家,https://s.momoshop.com.tw/s/fZ9miz2D,https://www.momoshop.com.tw/TP/TP0007070/main,planned
58,GUMi低碳,TP0002736,A,57.0,wellness-recovery-support,wellness-movement,低碳飲食入門、低醣食品比較,低碳飲食食品、健康餐、低醣相關商品,主推候選,https://s.momoshop.com.tw/s/wQRqLAAY,https://www.momoshop.com.tw/TP/TP0002736/main,planned
59,OMBRA 雨傘 雨衣 雨鞋 旗艦店,TP0001609,A,78.0,outdoor-mobile-living,outdoor-escapes,通勤雨具推薦、機車族雨衣,雨傘、雨衣、雨鞋、防水通勤用品,主推候選,https://s.momoshop.com.tw/s/ryfM995D,https://www.momoshop.com.tw/TP/TP0001609/main,planned
60,酷狗地板,TP0009640,A,78.0,home-ritual-lifestyle,lifestyle-culture,租屋地板改造、寵物家庭地板,地板、塑膠地板、居家修繕或寵物友善地材,主推候選,https://s.momoshop.com.tw/s/oKlc1t2I,https://www.momoshop.com.tw/TP/TP0009640/main,planned
61,Zymoïde 天然酵素飲專賣,TP0008341,A,75.0,daily-food-drink-ritual,lifestyle-culture,酵素飲怎麼選、外食族補給,天然酵素飲、機能飲、日常補給飲品,主推候選,https://s.momoshop.com.tw/s/ftLQRw5g,https://www.momoshop.com.tw/TP/TP0008341/main,planned
62,vacanza,GOODS-vacanza,A,76.0,mobile-wardrobe-accessories,casual-chic,商品清單、尺寸動線,mine kitchen、夏日熱情 髮圈 大腸圈 、格子野餐 髮圈 大腸圈 、絨毛復古 髮圈 大腸圈(、薄紗輕舞 髮圈 大腸圈(、鏤空線條大花垂掛 鋼針耳,推薦店家,,https://s.momoshop.com.tw/s/mu1zvaOI,planned
63,D醣一刻,TP0006455,A,56.0,wellness-recovery-support,wellness-movement,低醣點心比較、控糖零食,低醣點心、控糖食品、健康零食,主推候選,https://s.momoshop.com.tw/s/Cv5Tr7rp,https://www.momoshop.com.tw/TP/TP0006455/main,planned
64,反光屋FKW,TP0000034,A,77.0,outdoor-mobile-living,outdoor-escapes,夜跑反光用品、機車通勤安全,反光貼、反光背心、夜間安全用品、車用/戶外反光材料,主推候選,https://s.momoshop.com.tw/s/tvga771o,https://www.momoshop.com.tw/TP/TP0000034/main,planned
65,MPB巴黎小姐 官方旗艦店 熱蠟除毛  補色洗髮精,TP0004416,A,78.0,home-ritual-lifestyle,lifestyle-culture,居家除毛入門、補色洗髮精怎麼選,熱蠟除毛、除毛用品、補色洗髮精、染護相關產品,主推候選,https://s.momoshop.com.tw/s/cxVGPA8r,https://www.momoshop.com.tw/TP/TP0004416/main,planned
66,台酒旗艦店,TP0001441,A,75.0,daily-food-drink-ritual,lifestyle-culture,家庭採買、送禮族,台酒食品、生技保養、泡麵/零食、酒粕相關商品與品牌食品,主推候選,https://s.momoshop.com.tw/s/ltbuYhtY,https://www.momoshop.com.tw/TP/TP0001441/main,planned
67,CLOEE 品牌旗艦店,TP0008576,A,77.0,outdoor-mobile-living,outdoor-escapes,環保減塑族、敏感頭皮,頭皮養護洗髮餅、旅行皂盒、潔顏沐浴精油、固態洗髮精,主推候選,https://s.momoshop.com.tw/s/DvSMpO6o,https://www.momoshop.com.tw/TP/TP0008576/main,planned
68,美利購清潔劑專賣店,TP0003487,A,77.0,home-ritual-lifestyle,lifestyle-culture,浴室水垢清潔、廚房油污清潔,清潔劑、除垢劑、廚房/浴室清潔用品,主推候選,https://s.momoshop.com.tw/s/lPy3YzOW,https://www.momoshop.com.tw/TP/TP0003487/main,planned
69,BWYA 薏仁錠創始品牌,TP0003281,A,58.0,daily-food-drink-ritual,lifestyle-culture,薏仁錠怎麼吃、成分比較,薏仁錠、日常補給與美容食品,主推候選,https://s.momoshop.com.tw/s/v6tYs77T,https://www.momoshop.com.tw/TP/TP0003281/main,planned
70,FULTON 富爾頓皇家晴雨傘,TP0005684,A,54.0,outdoor-mobile-living,outdoor-escapes,抗風傘比較、通勤傘推薦,晴雨傘、折傘、長傘、抗風傘,主推候選,https://s.momoshop.com.tw/s/swCkSJDA,https://www.momoshop.com.tw/TP/TP0005684/main,planned
71,MORINO摩力諾生活館|毛巾 浴巾 襪子 除臭襪 史努比,TP0002031,A,76.0,home-ritual-lifestyle,lifestyle-culture,家庭採購、敏感肌/重視抗菌除臭者,毛巾、浴巾、抗菌襪、除臭襪、內著、SNOOPY授權系列,主推候選,https://s.momoshop.com.tw/s/Fnh7Tv2f,https://www.momoshop.com.tw/TP/TP0002031/main,planned
72,DEHpet德培特,TP0009045,A,57.0,daily-food-drink-ritual,lifestyle-culture,寵物營養、毛孩日常保健,寵物食品、保健品、照護用品,主推候選,https://s.momoshop.com.tw/s/fQHzwRml,https://www.momoshop.com.tw/TP/TP0009045/main,planned
73,DA 生活選物,GOODS-da,B,66.0,outdoor-mobile-living,outdoor-escapes,商品清單、尺寸動線,10000mAh高容量 、A12充氣機 5000m、TYESO保溫杯 大容量、二入組 時尚輕巧UPF5、大譯通 多功能AI智能翻、萌趣卡通大書包位兒童雨衣,推薦店家,,https://s.momoshop.com.tw/s/dCpCdfEw,planned
74,au fait 無非｜手作香氛館,TP0009429,A,76.0,home-ritual-lifestyle,lifestyle-culture,居家香氛選擇、睡前療癒儀式,香氛蠟燭、擴香、精油、手作香氛禮品,主推候選,https://s.momoshop.com.tw/s/zG2mE8Uf,https://www.momoshop.com.tw/TP/TP0009429/main,planned
75,JAYSUWAN-健素旺,TP0008420,A,50.0,daily-food-drink-ritual,lifestyle-culture,素食營養補充、日常補給選購,素食營養品、日常補給食品或健康食品,主推候選,https://s.momoshop.com.tw/s/a3NJCgKg,https://www.momoshop.com.tw/TP/TP0008420/main,planned
76,【官方直營】淨淨Clean Clean,TP0005724,A,76.0,home-ritual-lifestyle,lifestyle-culture,家庭主婦/主夫、租屋族,洗衣清潔、居家清潔、廚房/浴室清潔與日用清潔用品推定,主推候選,https://s.momoshop.com.tw/s/zwczlnq2,https://www.momoshop.com.tw/TP/TP0005724/main,planned
77,灰調 生活家飾選品 香氛 精油 花器 燈飾,TP0004627,A,76.0,home-ritual-lifestyle,lifestyle-culture,小宅照明改造、吸頂燈選購,LED吸頂燈、燈具、居家照明、空間照明配件,主推候選,https://s.momoshop.com.tw/s/AFFq5jUk,https://www.momoshop.com.tw/TP/TP0004627/main,planned
78,SENGLI 質感家電 x 生活選物,TP0007694,A,76.0,home-ritual-lifestyle,lifestyle-culture,租屋小家電清單、廚房生活升級,小家電、居家生活電器、廚房與生活選物,主推候選,https://s.momoshop.com.tw/s/hduo9ZBp,https://www.momoshop.com.tw/TP/TP0007694/main,planned
79,2angels質感矽膠嬰幼餐具,TP0002712,A,76.0,home-ritual-lifestyle,lifestyle-culture,副食品餐具清單、矽膠餐具怎麼選,矽膠嬰幼兒餐具、學習餐盤、圍兜與副食品用品,主推候選,https://s.momoshop.com.tw/s/rCMnDvTY,https://www.momoshop.com.tw/TP/TP0002712/main,planned
80,卡雅仕KYOGOKU｜日本原廠直營店,TP0004518,A,76.0,home-ritual-lifestyle,lifestyle-culture,染燙族、髮型師,日本美髮產品、染護、造型、髮品工具推定,主推候選,https://s.momoshop.com.tw/s/7PRBCAqu,https://www.momoshop.com.tw/TP/TP0004518/main,planned
81,雪亞緹 Sheer Arctic 純淨美妝 無毒保養,TP0008148,A,76.0,home-ritual-lifestyle,lifestyle-culture,純淨保養怎麼選、敏感肌日常,純淨保養、無毒美妝、敏感肌保養用品,主推候選,https://s.momoshop.com.tw/s/pvDynmuC,https://www.momoshop.com.tw/TP/TP0008148/main,planned
82,JINKO 淨科,TP0003749,A,55.0,home-ritual-lifestyle,lifestyle-culture,除臭抗菌實測、居家清潔,清潔用品、抗菌、除臭、居家環境淨化商品,主推候選,https://s.momoshop.com.tw/s/krK2QPdO,https://www.momoshop.com.tw/TP/TP0003749/main,planned
83,Desire & Passion 天森無患,TP0007302,A,55.0,home-ritual-lifestyle,lifestyle-culture,無患子清潔知識、天然洗沐,無患子清潔、洗沐、天然清潔用品,主推候選,https://s.momoshop.com.tw/s/PDdeWsws,https://www.momoshop.com.tw/TP/TP0007302/main,planned
84,GINGER MAKE UP｜魔法化妝箱,TP0008424,A,53.0,home-ritual-lifestyle,lifestyle-culture,新手化妝箱、彩妝工具清單,彩妝工具、化妝箱、彩妝品、美妝收納,主推候選,https://s.momoshop.com.tw/s/xWCenaTS,https://www.momoshop.com.tw/TP/TP0008424/main,planned
85,Home & Ceramics,TP0005971,A,51.0,home-ritual-lifestyle,lifestyle-culture,餐桌佈置、陶瓷餐具怎麼選,陶瓷餐具、杯盤、居家擺設,主推候選,https://s.momoshop.com.tw/s/I9OkFkrZ,https://www.momoshop.com.tw/TP/TP0005971/main,planned
86,GW 水玻璃,TP0009124,A,52.0,home-ritual-lifestyle,lifestyle-culture,水玻璃是什麼、浴室/車窗防潑水,水玻璃鍍膜、玻璃清潔、防潑水/保護劑,主推候選,https://s.momoshop.com.tw/s/Hw54LjyU,https://www.momoshop.com.tw/TP/TP0009124/main,planned
87,大檜仁心,TP0009548,A,80.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,大檜仁心-國立故宮博物院、大檜仁心-臺灣紅檜木精油,推薦店家,https://s.momoshop.com.tw/s/DPcxp3dk,https://www.momoshop.com.tw/TP/TP0009548/main,planned
