week,weekly_slot,cadence_type,cluster,category,article_form,title,slug,search_intent,primary_merchant_ids,primary_brands,supporting_merchant_ids,supporting_brands,all_brands,internal_link_targets,cta_style,risk_guardrail,elite_judgment,answer_summary,status
2,1,高購買意圖導購文,通勤穿搭與移動包款,casual-chic,buying-priority-guide,會議前後的整理包：髮品、補妝、香氛與小包怎麼放,meeting-grooming-hair-makeup-scent-small-bag-kit,會議整理包,TP0007070;TP0005448;TP0008424,S′AIME東京企劃;Apode 歐美專業髮品;GINGER MAKE UP｜魔法化妝箱,TP0000439;TP0002031;TP0009277,BAYBEYLA 貝貝拉-專業彩妝刷具店;MORINO摩力諾生活館|毛巾 浴巾 襪子 除臭襪 史努比;UD LAB,S′AIME東京企劃;Apode 歐美專業髮品;GINGER MAKE UP｜魔法化妝箱;BAYBEYLA 貝貝拉-專業彩妝刷具店;MORINO摩力諾生活館|毛巾 浴巾 襪子 除臭襪 史努比;UD LAB,meeting-grooming-kit-hair-makeup-scent-small-bag;home-nail-makeup-tools-beginner-storage,段落內小包與整理用品雙 CTA,不宣稱美妝或髮品效果，成分與使用限制回商品頁。,整理包的重點是會議前五分鐘能拿到，而不是把浴室搬進包裡。,會議整理包應控制品項，先補儀容摩擦點，再看香氛與外觀。,ready-to-brief
2,2,高購買意圖導購文,輕戶外與旅行準備,outdoor-escapes,comparison-guide,出國前先整理箱包系統：前開式行李箱、登機箱與收納袋,travel-luggage-front-open-carry-on-packing-system-2,行李箱收納,TP0002546;TP0005391;TP0000074,ENDUO恩多箱包;DW優選家官方直營店—行李箱;戶外趣,TP0009277;TP0005684;TP0007070,UD LAB;FULTON 富爾頓皇家晴雨傘;S′AIME東京企劃,ENDUO恩多箱包;DW優選家官方直營店—行李箱;戶外趣;UD LAB;FULTON 富爾頓皇家晴雨傘;S′AIME東京企劃,travel-luggage-front-open-carry-on-packing-system;elder-travel-vision-reading-sunglasses-luggage,表格分短途/長途/出差 CTA,航空尺寸與限制以官方公告為準。,用旅程天數決定箱體，用拿取頻率決定前開或分層。,行李箱系統要先看旅程與拿取頻率，再看外型與容量。,ready-to-brief
2,3,比較/選購順序文,居家儀式與收納升級,lifestyle-culture,buying-priority-guide,小宅收納不是買更多盒子：玄關、衣櫃、書桌與清潔工具配置,small-home-entry-closet-desk-cleaning-storage-order,小宅收納,TP0005953;TP0000922;TP0006338,完美主義 官方直營;真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品;壹品輕奢家居館,TP0002948;TP0007021;TP0004627,SUSS Living生活良品;Awayuki淡雪 日本製精品;灰調 生活家飾選品 香氛 精油 花器 燈飾,完美主義 官方直營;真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品;壹品輕奢家居館;SUSS Living生活良品;Awayuki淡雪 日本製精品;灰調 生活家飾選品 香氛 精油 花器 燈飾,small-home-entry-closet-desk-cleaning-storage;home-organization-cleaning-kitchen-storage-products,四區域商品 CTA,不宣稱承重、防潮或適合所有坪數。,先替物品安排停靠點，再買盒子；收納不是把東西藏起來。,小宅收納的核心是動線與使用頻率，不是容器數量。,ready-to-brief
2,4,高購買意圖導購文,低壓恢復與身體支撐,wellness-movement,problem-solution-guide,久坐工作日的腰背與膝蓋支撐：護具、坐墊、鞋包重量怎麼看,workday-knee-back-support-cushion-bag-weight-guide,久坐支撐用品,TP0003385;TP0006750;TP0002618,BELEX - 專業醫療護具品牌;Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝;Sports Support 健身裝備 護腕補劑腰帶,TP0008160;TP0009277;TP0005953,Cool Sport Support 巴酷運動;UD LAB;完美主義 官方直營,BELEX - 專業醫療護具品牌;Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝;Sports Support 健身裝備 護腕補劑腰帶;Cool Sport Support 巴酷運動;UD LAB;完美主義 官方直營,knee-back-support-brace-workday-guide;chair-cushion-home-office-products,風險提醒後放護具 CTA,不承諾矯正、治療、止痛或醫療效果。,先看疼痛是否需要專業協助，再看日常支撐物是否只是減少摩擦。,久坐支撐用品只能協助日常配置，不應取代專業診斷。,ready-to-brief
2,5,AEO/GEO 答案型文章,辦公室補給與質感送禮,wellness-movement,faq-hub,外食日的零食櫃：低醣點心、堅果、素食零嘴與沖泡飲怎麼放,office-snack-cabinet-low-sugar-nuts-vegetarian-drinks,低負擔零食櫃,TP0006455;TP0003486;TP0002822,D醣一刻;囍素堅果;本草養生From Nature,TP0008420;TP0000776;TP0009026,JAYSUWAN-健素旺;KKM 健康飲食 專賣-植物奶|果汁|穀物果乾;PV女性微甜草本飲｜Pistina Vioya,D醣一刻;囍素堅果;本草養生From Nature;JAYSUWAN-健素旺;KKM 健康飲食 專賣-植物奶|果汁|穀物果乾;PV女性微甜草本飲｜Pistina Vioya,light-snack-cabinet-low-sugar-nuts-vegetarian;office-home-snack-cabinet-nuts-tea-dessert,FAQ 後放零食櫃 CTA,不得宣稱控糖、減重、代謝或保健效果。,零食櫃不是自律象徵，而是替下午與加班預留可控選項。,低負擔零食櫃應看份量、保存與口味疲乏，而不是健康標語。,ready-to-brief
2,6,季節/情境文,通勤穿搭與移動包款,casual-chic,seasonal-checklist,春夏通勤防曬穿搭：防曬外套、抗風傘與輕量包怎麼不狼狽,spring-summer-commute-sun-umbrella-light-bag-outfit,春夏通勤防曬,TP0000116;TP0005684;TP0007070,UV100專業機能防曬服飾;FULTON 富爾頓皇家晴雨傘;S′AIME東京企劃,TP0001609;TP0005647;TP0009277,OMBRA 雨傘 雨衣 雨鞋 旗艦店;左都雨傘官方旗艦店;UD LAB,UV100專業機能防曬服飾;FULTON 富爾頓皇家晴雨傘;S′AIME東京企劃;OMBRA 雨傘 雨衣 雨鞋 旗艦店;左都雨傘官方旗艦店;UD LAB,spring-summer-commute-sun-protection-umbrella-light-bag;weekend-light-outdoor-city-sun-jacket-shorts-small-bag,穿搭情境中段放 CTA,不宣稱防曬效果或 UPF，規格需回商品頁。,防曬穿搭要能從捷運、機車到會議室銜接。,春夏通勤防曬要同時處理遮蔽、收納與正式感。,ready-to-brief
2,7,高購買意圖導購文,AI 工作角落與創作者裝備,ai-innovation,use-case-guide,不露臉內容也需要設備順序：支架、燈光、濾鏡與收音怎麼買,faceless-content-rig-light-filter-audio-buying-order,內容拍攝設備,TP0002918;TP0009335;TP0001204,GoRig行動攝錄影專賣;Haida 台灣總代理;DTAudio聆翔 官方旗艦店-你的耳機喇叭專門家,TP0007295;TP0005820;TP0009476,燈后- LED居家/智能/照明/五金/居家生活用品;SANSUI山水 官方旗艦店;Momax Taiwan 摩米士台灣品牌旗艦店,GoRig行動攝錄影專賣;Haida 台灣總代理;DTAudio聆翔 官方旗艦店-你的耳機喇叭專門家;燈后- LED居家/智能/照明/五金/居家生活用品;SANSUI山水 官方旗艦店;Momax Taiwan 摩米士台灣品牌旗艦店,faceless-content-phone-rig-filter-light-audio;mobile-photography-cpl-rig-outdoor-creator-kit,設備順序表後放 CTA,不假裝實測，不承諾畫質或收音改善。,先把固定、光線與聲音三件事穩住，再談濾鏡和風格。,內容拍攝設備應先解決穩定度、光線與聲音，再補風格配件。,ready-to-brief
2,8,品牌質感型雜誌文,辦公室補給與質感送禮,lifestyle-culture,gift-guide,質感送禮不必用力：咖啡、茶、按摩設備、雨傘與客製小物,quality-gifting-coffee-tea-massage-umbrella-custom-goods,質感送禮,TP0005142;TP0006348;TP0008485,Teavoya - 嘉柏茶業;LamiFans;輝葉良品 官方旗艦店,TP0009388;TP0005684;TP0009548,馬克老爹專賣好咖啡 MARK-ODS Co. LTD;FULTON 富爾頓皇家晴雨傘;大檜仁心,Teavoya - 嘉柏茶業;LamiFans;輝葉良品 官方旗艦店;馬克老爹專賣好咖啡 MARK-ODS Co. LTD;FULTON 富爾頓皇家晴雨傘;大檜仁心,quality-gifting-coffee-tea-massage-umbrella-custom;cold-brew-tea-gift-box-afternoon-guide,文末分對象 CTA,不承諾收禮反應、按摩或健康效果。,送禮先看對方生活節奏，不要只看價格或包裝。,質感送禮的關鍵是使用頻率與對方能否自然收下。,ready-to-brief
2,9,比較/選購順序文,居家儀式與收納升級,lifestyle-culture,comparison-guide,浴室與廚房清潔怎麼分工：水垢、油污、除味與工具收納,bathroom-kitchen-cleaning-scale-grease-odor-tool-storage,居家清潔用品,TP0003487;TP0007302;TP0003749,美利購清潔劑專賣店;Desire & Passion 天森無患;JINKO 淨科,TP0005724;TP0000922;TP0002031,【官方直營】淨淨Clean Clean;真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品;MORINO摩力諾生活館|毛巾 浴巾 襪子 除臭襪 史努比,美利購清潔劑專賣店;Desire & Passion 天森無患;JINKO 淨科;【官方直營】淨淨Clean Clean;真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品;MORINO摩力諾生活館|毛巾 浴巾 襪子 除臭襪 史努比,home-cleaning-products-bathroom-kitchen-odor-guide;sink-cleaning-tool-kitchen-products,分區比較表後放 CTA,不宣稱抗菌、除菌或安全無毒，除非商品頁支持。,先分污垢來源，再分清潔工具；香味不是清潔完成的證明。,清潔用品要按髒污來源分工，不能用一瓶解決全屋。,ready-to-brief
2,10,AEO/GEO 答案型文章,輕戶外與旅行準備,outdoor-escapes,faq-hub,新手登山先買什麼：排汗衣、雨衣褲、護膝與輕量收納順序,beginner-hiking-shirt-rainwear-knee-support-storage-order,登山新手裝備,TP0007424;TP0003385;TP0006750,Litume 意都美 露營 登山 戶外 旅遊用品;BELEX - 專業醫療護具品牌;Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝,TP0000976;TP0009177;TP0000034,北方狼(官方授權經銷商);ANPING 安平 - 戶外用品專賣;反光屋FKW,Litume 意都美 露營 登山 戶外 旅遊用品;BELEX - 專業醫療護具品牌;Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝;北方狼(官方授權經銷商);ANPING 安平 - 戶外用品專賣;反光屋FKW,beginner-hiking-gear-order-light-trail;taiwan-hiking-routes-and-style,FAQ 後放裝備 CTA,不宣稱安全保證或醫療防護。,先買能應對氣候與路線風險的東西，再買風格小物。,新手登山裝備要先處理天氣、支撐與收納，再談品牌完整度。,ready-to-brief
3,1,高購買意圖導購文,辦公室補給與質感送禮,lifestyle-culture,comparison-guide,居家餐桌先買鍋還是杯盤：鍋具、餐具與收納工具的順序,home-cooking-pan-tableware-storage-order,居家餐桌先買鍋還是杯盤,TP0001754;TP0000363;TP0005971,廚藝日本鍋具館;大正餐具批發零售;Home & Ceramics,TP0008921;TP0003333;TP0005142,鐵本舖台灣鐵鍋;暮朝食粹Muzhao | 創新食尚的伴手禮｜醬油 米餅 茶;Teavoya - 嘉柏茶業,廚藝日本鍋具館;大正餐具批發零售;Home & Ceramics;鐵本舖台灣鐵鍋;暮朝食粹Muzhao | 創新食尚的伴手禮｜醬油 米餅 茶;Teavoya - 嘉柏茶業,home-cooking-pan-tableware-storage,依文章情境配置 2-3 組 CTA,商品價格、規格、活動、庫存與限制均以商品頁公告為準；健康、寵物、照護、食品題不得承諾效果。,先建立使用順序與常見錯誤，再讓商品成為讀者下一步的工具。,居家餐桌先買鍋還是杯盤應先回到使用情境、頻率與限制，再比較品牌與商品。,ready-to-brief
3,2,比較/選購順序文,居家儀式與收納升級,lifestyle-culture,buying-priority-guide,租屋小家電不要一次買滿：廚房、桌面、清潔與季節電器,rental-small-appliance-kitchen-desk-cleaning-seasonal,租屋小家電不要一次買滿,TP0005764;TP0006567;TP0005935,生活創意家 Life Creative KINYO 家電;Airmate艾美特;心科技･生活家電館,TP0007295;TP0007694;TP0000922,燈后- LED居家/智能/照明/五金/居家生活用品;SENGLI 質感家電 x 生活選物;真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品,生活創意家 Life Creative KINYO 家電;Airmate艾美特;心科技･生活家電館;燈后- LED居家/智能/照明/五金/居家生活用品;SENGLI 質感家電 x 生活選物;真蓁嚴選清潔生活館-專賣平板拖把、掃把、掃除用品,rental-small-appliance-kitchen-desk-cleaning,依文章情境配置 2-3 組 CTA,商品價格、規格、活動、庫存與限制均以商品頁公告為準；健康、寵物、照護、食品題不得承諾效果。,先建立使用順序與常見錯誤，再讓商品成為讀者下一步的工具。,租屋小家電不要一次買滿應先回到使用情境、頻率與限制，再比較品牌與商品。,ready-to-brief
3,3,AEO/GEO 答案型文章,通勤穿搭與移動包款,casual-chic,buying-priority-guide,旅行鞋包配置：好走鞋、輕量包、貼身小包與雨天備案,travel-shoes-light-bag-crossbody-rain-backup-system,旅行鞋包配置,TP0009277;TP0007070;TP0003634,UD LAB;S′AIME東京企劃;95 SNEAKER,TP0005684;TP0004592;TP0003240,FULTON 富爾頓皇家晴雨傘;Heine海恩後背包;PPBOX 官方旗艦店 - 英國袋鼠 KANGOL,UD LAB;S′AIME東京企劃;95 SNEAKER;FULTON 富爾頓皇家晴雨傘;Heine海恩後背包;PPBOX 官方旗艦店 - 英國袋鼠 KANGOL,travel-shoes-light-bag-crossbody-rain-backup,依文章情境配置 2-3 組 CTA,商品價格、規格、活動、庫存與限制均以商品頁公告為準；健康、寵物、照護、食品題不得承諾效果。,先建立使用順序與常見錯誤，再讓商品成為讀者下一步的工具。,旅行鞋包配置應先回到使用情境、頻率與限制，再比較品牌與商品。,ready-to-brief
3,4,季節/情境文,居家儀式與收納升級,lifestyle-culture,use-case-guide,客廳與工作角落照明：吸頂燈、桌燈、香氛與收納怎麼搭,living-room-work-corner-lighting-scent-storage-system,客廳與工作角落照明,TP0007295;TP0004627;TP0007694,燈后- LED居家/智能/照明/五金/居家生活用品;灰調 生活家飾選品 香氛 精油 花器 燈飾;SENGLI 質感家電 x 生活選物,TP0004799;TP0009429;TP0005953,Hysure海說官方旗艦店;au fait 無非｜手作香氛館;完美主義 官方直營,燈后- LED居家/智能/照明/五金/居家生活用品;灰調 生活家飾選品 香氛 精油 花器 燈飾;SENGLI 質感家電 x 生活選物;Hysure海說官方旗艦店;au fait 無非｜手作香氛館;完美主義 官方直營,living-room-work-corner-lighting-scent-storage,依文章情境配置 2-3 組 CTA,商品價格、規格、活動、庫存與限制均以商品頁公告為準；健康、寵物、照護、食品題不得承諾效果。,先建立使用順序與常見錯誤，再讓商品成為讀者下一步的工具。,客廳與工作角落照明應先回到使用情境、頻率與限制，再比較品牌與商品。,ready-to-brief
3,5,品牌質感型雜誌文,AI 工作角落與創作者裝備,ai-innovation,comparison-guide,AI 工作流需要什麼筆電周邊：螢幕、線材、保護貼與備份,ai-workflow-laptop-monitor-cable-protection-backup,AI 工作流需要什麼筆電周邊,TP0002753;TP0005967;TP0006238,華克電腦-高效筆電專賣平台、專業服務與精選方案;REAICE｜外接式螢幕、充電線材、3C周邊;EZstick 3C商品保護賣場,TP0007010;TP0000858;TP0009476,日本橋3C;聯威電腦;Momax Taiwan 摩米士台灣品牌旗艦店,華克電腦-高效筆電專賣平台、專業服務與精選方案;REAICE｜外接式螢幕、充電線材、3C周邊;EZstick 3C商品保護賣場;日本橋3C;聯威電腦;Momax Taiwan 摩米士台灣品牌旗艦店,ai-workflow-laptop-monitor-cable-protection,依文章情境配置 2-3 組 CTA,商品價格、規格、活動、庫存與限制均以商品頁公告為準；健康、寵物、照護、食品題不得承諾效果。,先建立使用順序與常見錯誤，再讓商品成為讀者下一步的工具。,AI 工作流需要什麼筆電周邊應先回到使用情境、頻率與限制，再比較品牌與商品。,ready-to-brief
3,6,高購買意圖導購文,低壓恢復與身體支撐,wellness-movement,buying-priority-guide,給家人的居家舒壓設備：按摩椅、按摩槍、護具與照護用品,home-comfort-massage-device-brace-care-supplies-order,給家人的居家舒壓設備,TP0008485;TP0005698;TP0009161,輝葉良品 官方旗艦店;一然健康;安里嚴選-台灣本土品牌，用心經營健康按摩產業,TP0003385;TP0006750;TP0003894,BELEX - 專業醫療護具品牌;Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝;COZZY嚴選-品牌官方旗艦店-園藝/按摩用品/質感選物,輝葉良品 官方旗艦店;一然健康;安里嚴選-台灣本土品牌，用心經營健康按摩產業;BELEX - 專業醫療護具品牌;Jasper 大來護具 Mo+ 官方商店 │護膝 護腰 護踝;COZZY嚴選-品牌官方旗艦店-園藝/按摩用品/質感選物,home-comfort-massage-device-brace-care-supplies,依文章情境配置 2-3 組 CTA,商品價格、規格、活動、庫存與限制均以商品頁公告為準；健康、寵物、照護、食品題不得承諾效果。,先建立使用順序與常見錯誤，再讓商品成為讀者下一步的工具。,給家人的居家舒壓設備應先回到使用情境、頻率與限制，再比較品牌與商品。,ready-to-brief
