priority_batch,theme,title,slug,category,target_audience,brands,intent,risk_notes,queued_as
2,保養、彩妝與低壓儀容,保養流程越簡單越要選對：極簡保養、髮品與日夜照護清單,simple-skincare-haircare-day-night-routine,lifestyle-culture,上班族、日常保養、送禮、美妝入門讀者,OBHL極簡保養、MEDUSA、Make Friends、ENIE 雅如詩、LOYE 樂妍、IRIYA,極簡保養、髮品、日夜照護,避免成分療效與肌膚改善承諾。,Q-0014
later,保養、彩妝與低壓儀容,頭髮、頭皮與妝容收納：把浴室與梳妝台整理成低壓工作站,hair-scalp-makeup-bathroom-vanity-organization,lifestyle-culture,上班族、日常保養、送禮、美妝入門讀者,髮克希企業社、澄妍選品、JDT_Beauty Plan、Make Friends、MEDUSA,頭髮、頭皮、妝容、浴室收納,不寫生髮、治療、頭皮疾病改善。,roadmap-only
1,香氛、香品與居家氣味,家裡的味道也需要整理：香氛、香品、清潔與除味用品怎麼分工,home-scent-incense-cleaning-odor-zones,lifestyle-culture,居家儀式、空間氣味、送禮、清潔除味讀者,Lingscent、引香室、騰鼎沉檀香、鼎曨沉檀香、宜品香舖,香氛、香品、清潔、除味用品,不得宣稱淨化、療癒或除菌效果。,Q-0013
later,香氛、香品與居家氣味,不靠大量香味堆疊：玄關、客廳、浴室的氣味管理清單,entry-living-bathroom-scent-management-guide,lifestyle-culture,居家儀式、空間氣味、送禮、清潔除味讀者,Lingscent、引香室、騰鼎沉檀香、宜品香舖、上手家居,玄關、客廳、浴室氣味管理,以氣味層次與清潔習慣表述。,roadmap-only
2,親子、童裝與家庭學習,親子家庭的週末補貨清單：童裝、玩具、早餐與兒童用品,family-weekend-restock-kids-clothes-toys-breakfast,lifestyle-culture,新手爸媽、親子禮物、家庭學習與日用品補貨,花兒朵朵、Arbea購物、Baby童衣、包寧安/櫻桃小丸子、花漾饅頭屋,童裝、玩具、早餐、兒童用品,不寫教養效果；聚焦補貨順序與使用情境。,Q-0014
later,親子、童裝與家庭學習,開學與學習角落整理：文具、考試書、兒童電動牙刷與生活用品,school-learning-corner-books-stationery-kids-toothbrush,lifestyle-culture,新手爸媽、親子禮物、家庭學習與日用品補貨,智忠書局、睿睿購文具舖、youlijing優立淨、Q貝比、MIDODO母嬰,文具、考試書、兒童電動牙刷、生活用品,不承諾學習或口腔健康效果。,roadmap-only
later,親子、童裝與家庭學習,游泳課與戶外課前準備：泳鏡、童裝、早餐與親子外出小物,swimming-class-outdoor-kids-goggles-outing-kit,outdoor-escapes,新手爸媽、親子禮物、家庭學習與日用品補貨,【泳遠｜SwimSight】、Baby童衣、花漾饅頭屋、Arbea、花兒朵朵,泳鏡、童裝、早餐、親子外出,商品規格需以商品頁為準。,roadmap-only
1,旅行箱、出國收納與車用安全,出國前先整理箱包系統：前開式行李箱、登機箱與旅行收納,travel-luggage-front-open-carry-on-packing-system,outdoor-escapes,出差族、家庭旅行、自駕與戶外移動讀者,ENDUO恩多箱包、DW優選家、城市漫遊、戶外趣,行李箱、登機箱、旅行收納,不寫航空規範保證；提醒以航空公司公告為準。,Q-0013
later,旅行箱、出國收納與車用安全,自駕與露營路上的備用清單：行車記錄器、救車電源、餐廚與戶外小物,road-trip-camping-dashcam-jump-starter-kitchen-kit,outdoor-escapes,出差族、家庭旅行、自駕與戶外移動讀者,潛伏者行車記錄器、philo飛樂 / arlink、大正餐具、趴趴走戶外部品店、戶外趣,行車記錄器、救車電源、餐廚、戶外小物,不承諾安全結果；以準備順序與使用限制表述。,roadmap-only
later,旅行箱、出國收納與車用安全,長輩與戶外旅行的視線管理：老花眼鏡、偏光太陽眼鏡與旅行配件,family-travel-reading-sunglasses-vision-accessories,outdoor-escapes,出差族、家庭旅行、自駕與戶外移動讀者,極光視覺 Polars Design、城市漫遊、DW優選家、ENDUO恩多箱包,老花眼鏡、偏光太陽眼鏡、旅行配件,視力需求需諮詢專業；不得寫治療或矯正保證。,roadmap-only
1,寵物新手與小眾寵物生活,第一次養寵物不要一次買太多：食品、玩具、清潔與外出用品順序,first-pet-shopping-food-toy-cleaning-outing-order,lifestyle-culture,新手毛孩家庭、貓奴、爬蟲/水族、小寵主人,GenePet.tw、愛喵樂、福媽寵物、寵物好事達、摩摩寵物、派派寵物,寵物食品、玩具、清潔、外出用品,不寫寵物健康或保健功效；提醒依獸醫與商品頁資訊判斷。,Q-0013
later,寵物新手與小眾寵物生活,毛孩生日與送禮怎麼準備：寵物蛋糕、零食、玩具與慶生小物,pet-birthday-cake-snack-toy-gift-guide,lifestyle-culture,新手毛孩家庭、貓奴、爬蟲/水族、小寵主人,NiNiJA 妮妮家、毛雪旺、71小舖、免睏寵物樂園、威杰爾寵物,寵物蛋糕、零食、玩具、慶生小物,不得宣稱食品健康效果。,roadmap-only
later,寵物新手與小眾寵物生活,不只貓狗：水族、爬蟲與小寵家庭的補貨清單,aquarium-reptile-small-pet-restock-guide,lifestyle-culture,新手毛孩家庭、貓奴、爬蟲/水族、小寵主人,Aqua Corner、GenePet.tw、福媽寵物、派派寵物,水族、爬蟲、小寵補貨,需保守，避免飼養醫療建議。,roadmap-only
2,居家照護與身體活動輔助,家裡有人需要照護時，先整理哪些用品：醫材通路、輔具與生活消耗品,home-care-supplies-medical-aid-consumables,wellness-movement,照護家庭、久坐上班族、輕運動與長輩用品讀者,里享生活醫材、強哥批發、富達醫材、志遠書局,照護用品、輔具、醫材通路、生活消耗品,高風險內容，需專業諮詢提醒，不寫安全或醫療保證。,Q-0014
later,居家照護與身體活動輔助,辦公室久坐後的低門檻活動清單：伸展小物、枕頭與低負擔點心,desk-sitting-stretch-pillow-light-snack-guide,wellness-movement,照護家庭、久坐上班族、輕運動與長輩用品讀者,Go 2 運動生活館、ADAN CREST、D醣一刻、富達醫材,伸展小物、枕頭、低負擔點心,不得承諾疼痛改善或健康效果。,roadmap-only
later,居家照護與身體活動輔助,長輩用品不只看功能：閱讀、照護、眼鏡與居家動線的準備順序,family-elder-care-reading-glasses-home-flow,wellness-movement,照護家庭、久坐上班族、輕運動與長輩用品讀者,志遠書局、里享生活醫材、極光視覺、ADAN CREST,閱讀、照護、眼鏡、居家動線,高風險，避免醫療化與安全保證。,roadmap-only
